resultado_id,simulado_id,curso_id,avaliacao_id,estudante_registro_id,estudante_id,cartao_resposta,presenca_id,informacoes_presenca_markedtargets,informacoes_presenca_n_markedtargets,informacoes_presenca_one_markedtarget,deficiencia_id,codigos_deficiencia_markedtargets,codigos_deficiencia_n_markedtargets,codigos_deficiencia_one_markedtarget,filename
,,174475,174481,,40289,,2,,,,,,,,36208.jpg
,,174475,174481,,40299,,2,,,,,,,,36204.jpg
,,174475,174481,,40301,,2,,,,,,,,36206.jpg
,,174475,174481,,40297,,2,,,,,,,,36202.jpg
,,174475,174481,,40287,,2,,,,,,,,36201.jpg
,,174475,174481,,40298,,2,,,,,,,,36203.jpg
,,174475,174481,,40302,,2,,,,,,,,36207.jpg
,,174475,174481,,40300,,2,,,,,,,,36205.jpg
,,174475,174481,,40291,,2,,,,,,,,36210.jpg
,,174475,174481,,40290,,2,,,,,,,,36209.jpg
,,174475,174481,,40292,,2,,,,,,,,36211.jpg
,,174475,174481,,40293,,2,,,,,,,,36212.jpg
,,174475,174481,,40294,,2,,,,,,,,36213.jpg
,,174475,174481,,40295,,2,,,,,,,,36214.jpg
,,174475,174481,,82227,,2,,,,,,,,36215.jpg
,,174478,174484,,70746,,2,,,,,,,,36220.jpg
,,174478,174484,,37142,,2,,,,,,,,36222.jpg
,,174478,174484,,38683,,2,,,,,,,,36221.jpg
,,174478,174484,,38681,,2,,,,,,,,36219.jpg
,,174478,174484,,79181,,2,,,,,,,,36223.jpg
,,174478,174484,,38669,,2,,,,,,,,36216.jpg
,,174478,174484,,79180,,2,,,,,,,,36217.jpg
,,174478,174484,,57102,,2,,,,,,,,36218.jpg
,,174478,174484,,79177,,2,,,,,,,,36224.jpg
,,174478,174484,,38670,,3,,,,,,,,36225.jpg
,,174478,174484,,38673,,2,,,,,,,,36227.jpg
,,174478,174484,,38671,,2,,,,,,,,36226.jpg
,,174478,174484,,38695,,2,,,,,,,,36228.jpg
,,174478,174484,,81819,,2,,,,,,,,36229.jpg
,,174478,174484,,38675,,2,,,,,,,,36230.jpg
,,174478,174484,,79179,,2,,,,,,,,36231.jpg
,,174477,174483,,81820,,2,,,,,,,,36234.jpg
,,174477,174483,,38687,,2,,,,,,,,36232.jpg
,,174477,174483,,38712,,2,,,,,,,,36239.jpg
,,174477,174483,,38708,,2,,,,,,,,36236.jpg
,,174477,174483,,38707,,2,,,,,,,,36235.jpg
,,174477,174483,,79184,,2,,,,,,,,36237.jpg
